time,current_C1,legacy_C1,diff_C1,current_C2,legacy_C2,diff_C2,current_C3,legacy_C3,diff_C3,current_Q,legacy_Q,diff_Q,current_Cmix,legacy_Cmix,diff_Cmix,current_cO,legacy_cO,diff_cO
0.0,280.0,280.0,0.0,280.0,280.0,0.0,280.0,280.0,0.0,439.22133585779926,166.20202691696903,273.01930894083023,280.0,280.0,0.0,0.0,0.0,0.0
10.0,280.11296161541884,280.1652309748378,-0.05226935941897182,280.1129496550322,280.16521906218003,-0.05226940714783268,280.11295478661486,280.1652241732378,-0.052269386622924685,439.22133585779926,166.20202691696903,273.01930894083023,280.11250251722225,280.1647767270677,-0.05227420984545006,0.10787406539766625,0.039995034619902475,0.06787903077776378
20.0,280.11646165831013,280.2719346374903,-0.15547297918016056,280.11644051287556,280.27191377939596,-0.15547326652040283,280.11644951784933,280.2719226611828,-0.15547314333349505,300.4603412527798,167.48562844477857,132.97471280800124,280.11599806687235,280.2714855785571,-0.15548751168472563,0.18928505034844798,0.06740806860299141,0.12187698174545657
30.0,280.07648663096853,280.3431140885334,-0.26662745756487993,280.0764583009401,280.3430865007584,-0.26662819981828534,280.0764702844899,280.34309816738255,-0.26662788289263517,300.4603412527798,167.48562844477857,132.97471280800124,280.07601554227216,280.3426680722923,-0.266652530020167,0.2192687212547196,0.08760907118967992,0.13165965006503969
40.0,280.0199635414403,280.39063524316094,-0.3706717017206529,280.0199295166333,280.39060257448557,-0.37067305785228655,280.0199438225474,280.39061630377614,-0.3706724812287234,48.16077541183502,401.19652605274644,-353.03575064091143,280.0194841955175,280.39019093415715,-0.3707067386396261,0.24463231566296137,0.10274685297514853,0.14188546268781282
50.0,279.9731828492026,280.3913573151402,-0.418174465937625,279.97314427021456,280.39132076962807,-0.4181764994135051,279.97316040432963,280.3913360429012,-0.4181756385715403,48.16077541183502,401.19652605274644,-353.03575064091143,279.9726967349996,280.39091101699603,-0.41821428199642696,0.19880707011513007,0.17522946732544512,0.02357760278968496
60.0,279.9582159462732,280.33975613804927,-0.38154019177608234,279.9581737592785,280.3397165136818,-0.38154275440331276,279.95819131833696,280.3397329937606,-0.38154167542364803,107.76304992394276,209.55840003001072,-101.79535010606796,279.95772650829565,280.33930341636164,-0.38157690806599476,0.16019772171468336,0.23433589374781205,-0.0741381720331287
70.0,279.9656812994651,280.2715481901102,-0.3058668906451203,279.96563630737944,280.27150602079473,-0.3058697134152908,279.96565495433254,280.27152348707824,-0.3058685327457056,107.76304992394276,209.55840003001072,-101.79535010606796,279.9651910427681,280.2710877796151,-0.30589673684698937,0.1442495324157388,0.23322327271775053,-0.08897374030201174
80.0,279.9856605337057,280.20679509630196,-0.22113456259626219,279.98561339864233,280.2067507900632,-0.22113739142088207,279.9856328597151,280.20676907703273,-0.22113621731762123,193.7961251832395,230.04599030635447,-36.24986512311497,279.9851709685217,280.2063275340166,-0.22115656549493679,0.1314178098879448,0.23222353820460917,-0.10080572831666437
90.0,280.0045678385187,280.1435020844149,-0.13893424589616643,280.00451909185955,280.14345596448464,-0.13893687262509502,280.0045391507936,280.1434749431467,-0.13893579235309517,193.7961251832395,230.04599030635447,-36.24986512311497,280.00407915258427,280.14302767888313,-0.13894852629886145,0.14368279397008504,0.2368533829701532,-0.09317058900006817
100.0,280.01280482286995,280.0801575188295,-0.06735269595952786,280.0127548568812,280.0801098368998,-0.06735498001859241,280.0127753574653,280.0801294085912,-0.06735405112590342,194.20296000994463,169.32347815200416,24.879481857940476,280.012316236306,280.0796764001035,-0.06736016379750254,0.15350968222074188,0.2408211332687646,-0.08731145104802271
110.0,280.0130373086594,280.0223075957235,-0.009270287064055083,280.01298640541967,280.02225855201226,-0.009272146592593344,280.0130072381938,280.02227863945575,-0.009271401261969459,194.20296000994463,169.32347815200416,24.879481857940476,280.0125482309101,280.0218203785261,-0.009272147616002258,0.16156420548338937,0.22795840517900465,-0.06639419969561527
120.0,280.00721045743825,279.9743625231482,0.0328479342900323,280.007158818996,279.9743122943542,0.032846524641797714,280.00717990781015,279.9743328295375,0.03284707827265265,161.06987334019857,160.41195675216096,0.6579165880376081,280.0067204360288,279.97387022064413,0.03285021538465571,0.1681251838274032,0.21696590987420417,-0.04884072604680095
130.0,280.00048214638736,279.9359138611542,0.06456828523317881,280.0004299200359,279.93586260766597,0.06456731236994528,280.0004512109815,279.9358835288071,0.06456768217441322,161.06987334019857,160.41195675216096,0.6579165880376081,279.99999117631205,279.9354174395197,0.06457373679234024,0.16474724835141286,0.2052554580321323,-0.04050820968071944
140.0,279.99653206149674,279.9064836589977,0.09004840249906465,279.99647936585035,279.9064315281698,0.09004783768057223,279.9965008160487,279.9064527783936,0.0900480376550945,156.48902849376643,136.00692633056934,20.482102163197084,279.9960404650914,279.9059840334334,0.09005643165801303,0.16198434608253676,0.19538318887424871,-0.03339884279171196
150.0,279.99533866120356,279.8872665579239,0.10807210327965322,279.9952855948647,279.8872136865666,0.10807190829808633,279.99530716888023,279.88723521291774,0.10807195596248675,156.48902849376643,136.00692633056934,20.482102163197084,279.9948467477223,279.88676474757557,0.1080820001467373,0.15852264243551895,0.18063544141702345,-0.022112798981504506
