time,C1,C2,C3,Cmix,cO,Q_air
0.0,280.0,280.0,280.0,280.0,0.0,166.20202691696903
10.0,280.1652309748378,280.16521906218003,280.1652241732378,280.1647767270677,0.039995034619902475,166.20202691696903
20.0,280.2719346374903,280.27191377939596,280.2719226611828,280.2714855785571,0.06740806860299141,167.48562844477857
30.0,280.3431140885334,280.3430865007584,280.34309816738255,280.3426680722923,0.08760907118967992,167.48562844477857
40.0,280.39063524316094,280.39060257448557,280.39061630377614,280.39019093415715,0.10274685297514853,401.19652605274644
50.0,280.3913573151402,280.39132076962807,280.3913360429012,280.39091101699603,0.17522946732544512,401.19652605274644
60.0,280.33975613804927,280.3397165136818,280.3397329937606,280.33930341636164,0.23433589374781205,209.55840003001072
70.0,280.2715481901102,280.27150602079473,280.27152348707824,280.2710877796151,0.23322327271775053,209.55840003001072
80.0,280.20679509630196,280.2067507900632,280.20676907703273,280.2063275340166,0.23222353820460917,230.04599030635447
90.0,280.1435020844149,280.14345596448464,280.1434749431467,280.14302767888313,0.2368533829701532,230.04599030635447
100.0,280.0801575188295,280.0801098368998,280.0801294085912,280.0796764001035,0.2408211332687646,169.32347815200416
110.0,280.0223075957235,280.02225855201226,280.02227863945575,280.0218203785261,0.22795840517900465,169.32347815200416
120.0,279.9743625231482,279.9743122943542,279.9743328295375,279.97387022064413,0.21696590987420417,160.41195675216096
130.0,279.9359138611542,279.93586260766597,279.9358835288071,279.9354174395197,0.2052554580321323,160.41195675216096
140.0,279.9064836589977,279.9064315281698,279.9064527783936,279.9059840334334,0.19538318887424871,136.00692633056934
150.0,279.8872665579239,279.8872136865666,279.88723521291774,279.88676474757557,0.18063544141702345,136.00692633056934
160.0,279.87911498040035,279.87906150173205,279.87908325226607,279.8786120824635,0.16840644762389756,142.02551800851504
170.0,279.8795482622545,279.87949430371464,279.8795162285437,279.8790451411607,0.15994988069845867,142.02551800851504
180.0,279.8863490668186,279.88629474506587,279.8863167985656,279.8858463754292,0.15305784383319418,153.9053093855463
190.0,279.89680587910914,279.8967512972785,279.89677343928895,279.89630401237224,0.15059302259192373,153.9053093855463
200.0,279.90876576511533,279.90871100873517,279.9087332063098,279.9082649084429,0.1486044165588438,162.31399237527012
210.0,279.92079859002195,279.9207437277071,279.92076595479386,279.920298787713,0.14920660055789925,162.31399237527012
220.0,279.93186377927765,279.93180886265924,279.9318311001147,279.9313649696868,0.14969430068535533,173.36114578236223
230.0,279.94078118994344,279.94072625578065,279.940748490455,279.94028319467844,0.1529881720349185,173.36114578236223
240.0,279.94677353805116,279.9467186080526,279.9467408328678,279.94627609805013,0.15565570607506654,164.5366110949877
250.0,279.9514960485561,279.9514411341888,279.95146334607807,279.9509990522617,0.15549837316825682,164.5366110949877
260.0,279.95614886538095,279.95609397449635,279.956116171584,279.9556523109484,0.15536865506553793,175.94085598839212
270.0,279.95938710724164,279.95933224459077,279.9593544260437,279.9588908670148,0.15826258336364282,175.94085598839212
280.0,279.9602892748624,279.96023443890385,279.9602566063429,279.9597931317773,0.16061755241662176,161.89274588297383
290.0,279.96098203407274,279.9609272200167,279.96094937622837,279.9604859657318,0.15883628827283433,161.89274588297383
300.0,279.96300119108855,279.962946397435,279.9629685435969,279.9625053198519,0.15738351117132665,169.49154446330743
310.0,279.96516751881416,279.9651127464755,279.9651348826049,279.9646718593362,0.15820192658480156,169.49154446330743
320.0,279.9666211543917,279.96656640292093,279.9665885295325,279.9661256404765,0.15886910381729807,173.28125975771212
330.0,279.96707507882996,279.9670203459642,279.967042464275,279.96657961688715,0.1604094718641228,173.28125975771212
340.0,279.96634786739503,279.96629314851606,279.9663152606853,279.96585234556187,0.1616649347496821,166.45443774800603
350.0,279.96548318420446,279.9654284738855,279.96545058235273,279.964987586582,0.16089023294554886,166.45443774800603
360.0,279.9652383835359,279.96518367856595,279.96520578476355,279.9647427659272,0.16025720683802355,161.29963159939342
370.0,279.9660721925979,279.9660174923372,279.9660395965627,279.9655766544082,0.15838452827799968,161.29963159939342
380.0,279.96829657062176,279.9682418778657,279.96826397893295,279.9678012422383,0.15686004613032142,172.9475849888998
390.0,279.97024729717,279.9701926158836,279.9702147121206,279.96975215591465,0.15868572907294717,172.9475849888998
400.0,279.97072947555415,279.97067480598855,279.97069689733365,279.97023438542715,0.16017320107621238,161.2123218548189
410.0,279.97141153624324,279.9713568766166,279.9713789638695,279.9709165142529,0.15829470782000096,161.2123218548189
420.0,279.9734967398822,279.97344209146553,279.9734641740961,279.9730019167824,0.156764051495464,168.48991085317599
430.0,279.97582341739997,279.975768783446,279.9757908600785,279.9753288176684,0.15743493097265257,168.48991085317599
440.0,279.97754162543794,279.9774870075705,279.97750907754437,279.97704719353055,0.15798173493631248,171.17408517223723
450.0,279.9784645061049,279.9784099039951,279.97843196748767,279.97797016826723,0.15913260422439388,171.17408517223723
460.0,279.97847677591574,279.97842218708564,279.9784442451871,279.9779824464372,0.16006960710975823,165.49063368077253
470.0,279.97843071199617,279.97837613313845,279.9783981872743,279.9779363834474,0.15933617422296045,165.49063368077253
480.0,279.97894321936,279.9788886488626,279.9789106997094,279.9784489426757,0.15873784467233115,169.00417008761127
