integrator,termination_status,primal_status,objective,variable_count,constraint_count,x_final,z_final,u_first,u_last
IE,LOCALLY_SOLVED,FEASIBLE_POINT,1.106021065816359,33,24,0.8000000000000002,0.4055113281920412,2.000000017329836,5.337985572592538e-16
RK4,LOCALLY_SOLVED,FEASIBLE_POINT,1.0033378891726719,63,54,0.8000000000000002,0.4055113281920412,2.000000017176538,5.057372108363906e-14
IRK4,LOCALLY_SOLVED,FEASIBLE_POINT,1.0033364279514343,73,64,0.8000000000000002,0.4055113281920412,2.000000017176535,5.057332013472049e-14
