time,Q_applied,track_C1,track_C2,track_C3,move_Q_air,move1_Q_air,objective
0.0,439.22133585779926,1.3620592653751373e-8,1.0943040251731873e-8,4.0745362639427185e-10,0.0,0.0,2.5553163141012192e-8
20.0,300.4603412527798,1.525040715932846e-8,1.1641532182693481e-8,1.4551915228366852e-10,0.0,0.0,2.7153873816132545e-8
40.0,48.16077541183502,1.6123522073030472e-8,1.201988197863102e-8,5.820766091346741e-11,0.0,0.0,2.8463546186685562e-8
60.0,107.76304992394276,1.618172973394394e-8,1.1903466656804085e-8,2.9103830456733704e-10,0.0,0.0,2.8463546186685562e-8
80.0,193.7961251832395,1.6472768038511276e-8,1.2863893061876297e-8,2.6193447411060333e-10,0.0,0.0,3.0064256861805916e-8
100.0,194.20296000994463,1.6472768038511276e-8,1.2834789231419563e-8,2.3283064365386963e-10,0.0,0.0,2.9569491744041443e-8
120.0,161.06987334019857,1.6298145055770874e-8,1.367880031466484e-8,0.0,0.0,0.0,3.026798367500305e-8
140.0,156.48902849376643,1.6618287190794945e-8,1.30385160446167e-8,2.0372681319713593e-10,0.0,0.0,2.954038791358471e-8
160.0,167.66246315874952,1.7491402104496956e-8,1.2834789231419563e-8,2.9103830456733704e-11,0.0,0.0,3.0297087505459785e-8
180.0,171.21326666259523,1.705484464764595e-8,1.3416865840554237e-8,3.2014213502407074e-10,0.0,0.0,3.058812581002712e-8
200.0,167.71158484494387,1.7025740817189217e-8,1.2747477740049362e-8,-2.0372681319713593e-10,0.0,0.0,2.9598595574498177e-8
220.0,165.8544397953827,1.6851117834448814e-8,1.2689270079135895e-8,8.731149137020111e-11,0.0,0.0,2.9423972591757774e-8
240.0,166.83414495770305,1.650187186896801e-8,1.2834789231419563e-8,3.2014213502407074e-10,0.0,0.0,2.9423972591757774e-8
260.0,167.66843867501245,1.7171259969472885e-8,1.2922100722789764e-8,3.2014213502407074e-10,0.0,0.0,3.058812581002712e-8
280.0,167.446611624702,1.682201400399208e-8,1.2747477740049362e-8,1.7462298274040222e-10,0.0,0.0,2.9744114726781845e-8
300.0,167.10649498726232,1.7404090613126755e-8,1.2834789231419563e-8,3.7834979593753815e-10,0.0,0.0,3.064633347094059e-8
320.0,167.13260591583122,1.6851117834448814e-8,1.3213139027357101e-8,2.9103830456733704e-11,0.0,0.0,3.0064256861805916e-8
340.0,167.26077351963693,1.6298145055770874e-8,1.280568540096283e-8,0.0,0.0,0.0,2.9103830456733704e-8
360.0,167.27194770458541,1.6676494851708412e-8,1.2427335605025291e-8,5.820766091346741e-10,0.0,0.0,2.9453076422214508e-8
380.0,167.2270255506169,1.7229467630386353e-8,1.2922100722789764e-8,2.9103830456733704e-11,0.0,0.0,3.0297087505459785e-8
400.0,167.21570625608788,1.664739102125168e-8,1.3504177331924438e-8,5.820766091346741e-11,0.0,0.0,3.032619133591652e-8
420.0,167.2302557352653,1.7083948478102684e-8,1.2718373909592628e-8,5.820766091346741e-11,0.0,0.0,3.009336069226265e-8
440.0,167.23672940066197,1.7025740817189217e-8,1.3184035196900368e-8,2.6193447411060333e-10,0.0,0.0,3.0297087505459785e-8
460.0,167.23247001084212,1.6996636986732483e-8,1.3009412214159966e-8,8.731149137020111e-11,0.0,0.0,2.9889633879065514e-8
480.0,167.229422942054,1.6851117834448814e-8,1.3009412214159966e-8,2.9103830456733704e-11,0.0,0.0,2.9831426218152046e-8
500.0,167.23048406759096,1.6443664208054543e-8,1.3329554349184036e-8,2.9103830456733704e-11,0.0,0.0,2.9598595574498177e-8
520.0,167.23176602668735,1.626904122531414e-8,1.2980308383703232e-8,-2.9103830456733704e-11,0.0,0.0,2.930755726993084e-8
540.0,167.23158602916058,1.6472768038511276e-8,1.3009412214159966e-8,5.820766091346741e-11,0.0,0.0,2.939486876130104e-8
560.0,167.23108966805665,1.673470251262188e-8,1.3067619875073433e-8,0.0,0.0,0.0,2.9802322387695312e-8
580.0,167.23107520553188,1.705484464764595e-8,1.2747477740049362e-8,2.9103830456733704e-11,0.0,0.0,2.9831426218152046e-8
600.0,167.23125381411177,1.7258571460843086e-8,1.2980308383703232e-8,2.9103830456733704e-11,0.0,0.0,3.0297087505459785e-8
620.0,167.2312879012292,1.775333657860756e-8,1.3300450518727303e-8,4.3655745685100555e-10,0.0,0.0,3.1403033062815666e-8
640.0,167.2312282913514,1.6880221664905548e-8,1.2485543265938759e-8,1.4551915228366852e-10,0.0,0.0,2.9482180252671242e-8
660.0,167.2312062483136,1.6560079529881477e-8,1.2398231774568558e-8,1.4551915228366852e-10,0.0,0.0,2.8783688321709633e-8
680.0,167.2312244220731,1.658918336033821e-8,1.2922100722789764e-8,2.9103830456733704e-11,0.0,0.0,2.9831426218152046e-8
700.0,167.23123538953405,1.6618287190794945e-8,1.289299689233303e-8,1.4551915228366852e-10,0.0,0.0,2.9482180252671242e-8
720.0,167.23123053390236,1.7083948478102684e-8,1.3242242857813835e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
740.0,167.23122575261647,1.7404090613126755e-8,1.3329554349184036e-8,2.6193447411060333e-10,0.0,0.0,3.0995579436421394e-8
760.0,167.2312267512156,1.7316779121756554e-8,1.3213139027357101e-8,3.7834979593753815e-10,0.0,0.0,3.087916411459446e-8
780.0,167.23122865532798,1.7316779121756554e-8,1.30385160446167e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
800.0,167.2312285983061,1.7462298274040222e-8,1.3213139027357101e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
820.0,167.23122789530817,1.7113052308559418e-8,1.3271346688270569e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
840.0,167.2312278024029,1.705484464764595e-8,1.3154931366443634e-8,1.1641532182693481e-10,0.0,0.0,3.0384398996829987e-8
860.0,167.2312280437558,1.728767529129982e-8,1.3213139027357101e-8,2.6193447411060333e-10,0.0,0.0,3.0762748792767525e-8
880.0,167.2312281166082,1.728767529129982e-8,1.3416865840554237e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
900.0,167.23122804053617,1.7258571460843086e-8,1.3096723705530167e-8,3.2014213502407074e-10,0.0,0.0,3.058812581002712e-8
920.0,167.23122800133504,1.752050593495369e-8,1.3009412214159966e-8,1.1641532182693481e-10,0.0,0.0,3.0617229640483856e-8
940.0,167.23122802304047,1.7258571460843086e-8,1.2863893061876297e-8,2.9103830456733704e-10,0.0,0.0,3.032619133591652e-8
960.0,167.23122804070042,1.7345882952213287e-8,1.2863893061876297e-8,1.4551915228366852e-10,0.0,0.0,3.018067218363285e-8
980.0,167.231228035698,1.7083948478102684e-8,1.3329554349184036e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
1000.0,167.23122802135256,1.728767529129982e-8,1.2689270079135895e-8,2.6193447411060333e-10,0.0,0.0,3.0064256861805916e-8
1020.0,167.23122802912758,1.728767529129982e-8,1.3096723705530167e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
1040.0,167.23122804549197,1.7345882952213287e-8,1.2863893061876297e-8,2.9103830456733704e-11,0.0,0.0,3.0064256861805916e-8
1060.0,167.2312280322483,1.7316779121756554e-8,1.2863893061876297e-8,1.4551915228366852e-10,0.0,0.0,3.018067218363285e-8
1080.0,167.23122802622484,1.714215613901615e-8,1.3213139027357101e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
1100.0,167.2312280214797,1.7549609765410423e-8,1.2863893061876297e-8,8.731149137020111e-11,0.0,0.0,3.035529516637325e-8
1120.0,167.23122803279819,1.728767529129982e-8,1.3445969671010971e-8,2.9103830456733704e-11,0.0,0.0,3.0762748792767525e-8
1140.0,167.23122803496182,1.7578713595867157e-8,1.3329554349184036e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
1160.0,167.2312280342643,1.705484464764595e-8,1.2980308383703232e-8,1.4551915228366852e-10,0.0,0.0,2.994784153997898e-8
1180.0,167.2312280318996,1.7025740817189217e-8,1.2863893061876297e-8,2.6193447411060333e-10,0.0,0.0,3.0064256861805916e-8
1200.0,167.23122802861548,1.7491402104496956e-8,1.3387762010097504e-8,2.9103830456733704e-10,0.0,0.0,3.1257513910532e-8
1220.0,167.23122802475368,1.737498678267002e-8,1.3620592653751373e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
1240.0,167.2312280203665,1.7491402104496956e-8,1.2863893061876297e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
1260.0,167.2312280338933,1.728767529129982e-8,1.3329554349184036e-8,1.4551915228366852e-10,0.0,0.0,3.064633347094059e-8
1280.0,167.2312280356309,1.7345882952213287e-8,1.3649696484208107e-8,1.4551915228366852e-10,0.0,0.0,3.111199475824833e-8
1300.0,167.23122803333544,1.728767529129982e-8,1.335865817964077e-8,2.6193447411060333e-10,0.0,0.0,3.0995579436421394e-8
1320.0,167.23122802860996,1.7404090613126755e-8,1.3096723705530167e-8,1.4551915228366852e-10,0.0,0.0,3.064633347094059e-8
1340.0,167.2312280225739,1.7491402104496956e-8,1.3416865840554237e-8,1.4551915228366852e-10,0.0,0.0,3.111199475824833e-8
1360.0,167.23122803209588,1.7316779121756554e-8,1.3504177331924438e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
1380.0,167.23122804789367,1.728767529129982e-8,1.2660166248679161e-8,2.6193447411060333e-10,0.0,0.0,3.0064256861805916e-8
1400.0,167.23122803130994,1.705484464764595e-8,1.2980308383703232e-8,1.4551915228366852e-10,0.0,0.0,3.018067218363285e-8
1420.0,167.23122802518245,1.7025740817189217e-8,1.3213139027357101e-8,2.6193447411060333e-10,0.0,0.0,3.0529918149113655e-8
1440.0,167.23122802140844,1.7578713595867157e-8,1.30385160446167e-8,1.4551915228366852e-10,0.0,0.0,3.064633347094059e-8
1460.0,167.23122801921141,1.7491402104496956e-8,1.30385160446167e-8,8.731149137020111e-11,0.0,0.0,3.058812581002712e-8
1480.0,167.23122803524086,1.7462298274040222e-8,1.3213139027357101e-8,1.4551915228366852e-10,0.0,0.0,3.087916411459446e-8
1500.0,167.23122803611744,1.705484464764595e-8,1.2980308383703232e-8,2.6193447411060333e-10,0.0,0.0,3.0297087505459785e-8
1520.0,167.23122803177083,1.7258571460843086e-8,1.3096723705530167e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
1540.0,167.2312280243718,1.728767529129982e-8,1.2980308383703232e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
1560.0,167.23122803070183,1.7549609765410423e-8,1.3213139027357101e-8,1.7462298274040222e-10,0.0,0.0,3.090826794505119e-8
1580.0,167.2312280425928,1.728767529129982e-8,1.3184035196900368e-8,1.1641532182693481e-10,0.0,0.0,3.0617229640483856e-8
1600.0,167.23122803162468,1.7083948478102684e-8,1.3096723705530167e-8,2.6193447411060333e-10,0.0,0.0,3.0297087505459785e-8
1620.0,167.23122802710688,1.7316779121756554e-8,1.3096723705530167e-8,1.4551915228366852e-10,0.0,0.0,3.041350282728672e-8
