time,C1,C2,C3,Cmix,cO,Q_air
0.0,280.0,280.0,280.0,280.0,0.0,439.22133585779926
10.0,280.11296161541884,280.1129496550322,280.11295478661486,280.11250251722225,0.10787406539766625,439.22133585779926
20.0,280.11646165831013,280.11644051287556,280.11644951784933,280.11599806687235,0.18928505034844798,300.4603412527798
30.0,280.07648663096853,280.0764583009401,280.0764702844899,280.07601554227216,0.2192687212547196,300.4603412527798
40.0,280.0199635414403,280.0199295166333,280.0199438225474,280.0194841955175,0.24463231566296137,48.16077541183502
50.0,279.9731828492026,279.97314427021456,279.97316040432963,279.9726967349996,0.19880707011513007,48.16077541183502
60.0,279.9582159462732,279.9581737592785,279.95819131833696,279.95772650829565,0.16019772171468336,107.76304992394276
70.0,279.9656812994651,279.96563630737944,279.96565495433254,279.9651910427681,0.1442495324157388,107.76304992394276
80.0,279.9856605337057,279.98561339864233,279.9856328597151,279.9851709685217,0.1314178098879448,193.7961251832395
90.0,280.0045678385187,280.00451909185955,280.0045391507936,280.00407915258427,0.14368279397008504,193.7961251832395
100.0,280.01280482286995,280.0127548568812,280.0127753574653,280.012316236306,0.15350968222074188,194.20296000994463
110.0,280.0130373086594,280.01298640541967,280.0130072381938,280.0125482309101,0.16156420548338937,194.20296000994463
120.0,280.00721045743825,280.007158818996,280.00717990781015,280.0067204360288,0.1681251838274032,161.06987334019857
130.0,280.00048214638736,280.0004299200359,280.0004512109815,279.99999117631205,0.16474724835141286,161.06987334019857
140.0,279.99653206149674,279.99647936585035,279.9965008160487,279.9960404650914,0.16198434608253676,156.48902849376643
150.0,279.99533866120356,279.9952855948647,279.99530716888023,279.9948467477223,0.15852264243551895,156.48902849376643
160.0,279.9968232454447,279.9967698918095,279.99679155973365,279.9963313087874,0.15570589707607932,167.66246315874952
170.0,279.99910283815746,279.9990492666032,279.99907100368716,279.998610990619,0.1563596525488719,167.66246315874952
180.0,280.00078847688985,280.00073474082654,280.0007565284311,280.00029669280633,0.1568903388086967,171.21326666259523
190.0,280.00158805070413,280.00153418995865,280.001556014607,280.00109627017576,0.15825624208402356,171.21326666259523
200.0,280.001316143041,280.0012621859629,280.0012840385105,280.000824282584,0.15936672565625987,167.71158484494387
210.0,280.000616580947,280.0005625476182,280.0005844219442,280.00012461208155,0.1593478436296749,167.71158484494387
220.0,279.9999598464384,279.9999057522145,279.99992764377424,279.99946778185654,0.15933247545215237,165.8544397953827
230.0,279.999555278483,279.9995011355798,279.9995230407997,279.99906314842,0.15883072574251977,165.8544397953827
240.0,279.9995479111921,279.9994937299987,279.99951564578026,279.99905575836533,0.15842250364075372,166.83414495770305
250.0,279.99973790878164,279.99968369812336,279.99970562179084,279.99924575653165,0.1583485180166625,166.83414495770305
260.0,279.9999763977974,279.99992216476636,279.9999440941863,279.99948425463776,0.15828835159571006,167.66843867501245
270.0,280.00015455196603,280.0001003020892,280.0001222356342,279.99966241548896,0.15845915323406254,167.66843867501245
280.0,280.00019564603565,280.00014138331744,280.0001633198763,279.9997035058341,0.1585980609413364,167.446611624702
290.0,280.00015514977196,280.0001008770523,280.0001228158988,279.99966299992167,0.15865261603833664,167.446611624702
300.0,280.00007488034817,280.00002059970205,280.0000425403425,279.9995827183805,0.1586969920099058,167.10649498726232
310.0,280.0000034167664,279.9999491297564,279.9999710718393,279.9995112444048,0.15864350329128019,167.10649498726232
320.0,279.99997548332686,279.99992119125244,279.9999431344757,279.9994833053726,0.1585999944657704,167.13260591583122
